id,date,stick.up,level.mbtoc,comment
CB-1,41640,0.8,,Seco
CB-1,41671,0.8,,Seco
CB-1,41671,0.8,,Seco
CB-1,41699,0.8,,Seco
CB-1,41812,0.8,,Seco
CB-1,41812,0.8,,Seco
CB-1,41812,0.8,,Seco
CB-1,41848,0.8,,Seco
CB-1,41875,0.8,,Seco
CB-1,41942,0.8,,Seco
CB-1,41955,0.8,,Seco
CB-1,42066,0.8,,Seco
CB-1,42097,0.8,,Seco
CB-1,42127,0.8,,Seco
CB-1,42159,0.8,,Seco
CB-1,42206,0.8,,Seco
CB-1,42206,0.8,,Seco
CB-1,42250,0.8,,Seco
CB-1,42299,0.8,,Seco
CB-1,42327,0.8,,Seco
CB-1,42338,0.8,,Seco
CB-1,42374,0.8,,Seco
CB-1,42423,0.8,,Seco
CB-1,42432,0.8,,Seco
CB-1,42466,0.8,,Seco
CB-1,42500,0.8,,Seco
CB-10,41569,0.75,90.91,
CB-10,41600,0.75,90.84,
CB-10,41630,0.75,90.73,
CB-10,41659,0.75,90.7,
CB-10,41693,0.75,90.76,
CB-10,41727,0.75,90.67,
CB-10,41756,0.75,90.65,
CB-10,41781,0.75,90.6,
CB-10,41811,0.75,90.53,
CB-10,41841,0.75,90.46,
CB-10,41874,0.75,90.35,
CB-10,41909,0.75,90.28,
CB-10,41943,0.75,90.26,
CB-10,41956,0.75,90.23,
CB-10,41984,0.75,90.2,
CB-10,42015,0.75,90.18,
CB-10,42046,0.75,90.2,
CB-10,42067,0.75,90.17,
CB-10,42098,0.75,90.16,
CB-10,42144,0.75,90.09,
CB-10,42158,0.75,90.08,
CB-10,42205,0.75,89.95,
CB-10,42228,0.75,89.95,
CB-10,42248,0.75,89.92,
CB-10,42298,0.75,89.8,
CB-10,42326,0.75,89.67,
CB-10,42341,0.75,89.64,
CB-10,42374,0.75,89.65,
CB-10,42424,0.75,89.56,
CB-10,42435,0.75,89.57,
CB-10,42468,0.75,89.53,
CB-10,42502,0.75,89.52,
CB-11,41640,0.7,,Seco
CB-11,41671,0.7,,Seco
CB-11,41671,0.7,,Seco
CB-11,41699,0.7,,Seco
CB-11,41812,0.7,,Seco
CB-11,41812,0.7,,Seco
CB-11,41812,0.7,,Seco
CB-11,41848,0.7,,Seco
CB-11,41875,0.7,,Seco
CB-11,41942,0.7,,Seco
CB-11,41955,0.7,,Seco
CB-11,41986,0.7,,Seco
CB-11,42068,0.7,,Seco
CB-11,42099,0.7,,Seco
CB-11,42145,0.7,,Seco
CB-11,42157,0.7,,Seco
CB-11,42187,0.7,,Seco
CB-11,42229,0.7,,Seco
CB-11,42249,0.7,,Seco
CB-11,42297,0.7,,Seco
CB-11,42326,0.7,,Seco
